message_id,timestamp_utc,text
393718,2025-09-18T16:40:19+00:00,"📈[Binance](https://whalebot.co/BinanceFutures) Liquidated Short on ETHUSDT @ $4,644: Buy $348,565"
393717,2025-09-18T16:34:50+00:00,"📈[Bybit](http://whalebot.co/Bybit) liquidated Short on ETHUSDT @ $4,641.06: Buy $110,179"
393716,2025-09-18T16:29:02+00:00,"📉[Bybit](http://whalebot.co/Bybit) liquidated Long on LINKUSDT @ $24.15: Sell $58,617"
393715,2025-09-18T16:29:02+00:00,"📈[Bybit](http://whalebot.co/Bybit) liquidated Short on BTCUSDT @ $118,289.40: Buy $56,424"
393714,2025-09-18T16:24:43+00:00,"📉[Bybit](http://whalebot.co/Bybit) liquidated Long on DOGEUSDT @ $0.2841: Sell $95,594"
393713,2025-09-18T16:06:32+00:00,"📈[Bybit](http://whalebot.co/Bybit) liquidated Short on ETHUSDT @ $4,626.46: Buy $875,234"
393712,2025-09-18T16:06:31+00:00,"📈[Binance](https://whalebot.co/BinanceFutures) Liquidated Short on BTCUSDT @ $118,090: Buy $63,060"
393711,2025-09-18T16:06:09+00:00,"📈[Bybit](http://whalebot.co/Bybit) liquidated Short on DOGEUSDT @ $0.2903: Buy $64,193"
393710,2025-09-18T16:06:08+00:00,"📈[Binance](https://whalebot.co/BinanceFutures) Liquidated Short on DOGEUSDT @ $0.29: Buy $70,249"
393709,2025-09-18T16:00:19+00:00,"📈[Binance](https://whalebot.co/BinanceFutures) Liquidated Short on WUSDT @ $0.12: Buy $76,859"
393708,2025-09-18T15:49:50+00:00,"📈[Binance](https://whalebot.co/BinanceFutures) Liquidated Short on FARTCOINUSDT @ $0.94: Buy $51,613"
393707,2025-09-18T15:47:51+00:00,"📈[Binance](https://whalebot.co/BinanceFutures) Liquidated Short on DOGEUSDT @ $0.29: Buy $129,812"
393706,2025-09-18T15:39:38+00:00,"📈[Binance](https://whalebot.co/BinanceFutures) Liquidated Short on DOGEUSDT @ $0.29: Buy $57,328"
393705,2025-09-18T15:20:03+00:00,"📈[Binance](https://whalebot.co/BinanceFutures) Liquidated Short on SOLUSDT @ $250: Buy $406,477"
393704,2025-09-18T15:19:04+00:00,"📈[Bybit](http://whalebot.co/Bybit) liquidated Short on ONDOUSDT @ $1.09: Buy $75,794"
